Date,^FTSE,EXPN.L,RR.L,STJ.L,BATS.L,SKY.L,CNA.L,CPG.L,CCL.L,VOD.L,PRU.L,DLG.L,CCH.L,SSE.L,RDSA.L,PSN.L,RB.L,TSCO.L,BA.L,PPB.L,PFG.L,GKN.L,SDR.L,SHP.L,EZJ.L,ANTO.L,AHT.L,HSBA.L,BARC.L,AV.L,ITRK.L,INTU.L,WPP.L,ITV.L,DCC.L,ABF.L
2014-02-24,6865.899902,1111.00,990.00,794.50,3182.50,941.00,319.20,938.499,2488.00,252.30,1372.00,262.401,1516.00,1437.00,2222.50,1471.00,4911.44,333.40,417.50,5959.00,1863.00,414.90,2681.00,3410.00,1772.00,933.00,868.00,635.70,259.00,475.30,3031.00,297.193,1349.00,203.80,3165.00,2920.00
2014-02-25,6830.50,1112.00,979.00,835.00,3176.50,943.50,320.10,941.00,2502.00,246.95,1369.00,261.00,1524.00,1434.00,2197.50,1463.00,4935.88,335.20,410.90,5953.00,1880.00,410.70,2662.00,3410.00,1771.00,914.50,868.00,627.00,257.90,474.50,3033.00,298.281,1343.00,206.10,3170.00,2955.00
2014-02-26,6799.200195,1106.00,961.50,864.00,3174.00,944.50,319.70,940.499,2500.00,245.25,1357.00,263.00,1524.00,1424.00,2189.00,1435.00,4891.90,326.00,409.90,5945.00,1833.00,412.30,2661.00,3412.00,1680.00,911.50,862.00,627.10,253.15,473.00,2977.00,296.015,1331.00,201.50,3160.00,2964.00
2014-02-27,6810.299805,1098.00,992.50,861.50,3219.50,939.50,318.10,938.00,2508.00,246.85,1353.00,258.00,1499.00,1425.00,2182.00,1462.00,4846.93,331.25,411.10,5900.00,1834.00,408.20,2673.00,3415.00,1721.00,921.50,870.50,635.90,253.90,469.10,2945.00,296.196,1285.00,199.20,3166.00,2980.00
2014-02-28,6809.700195,1081.00,999.00,875.00,3250.00,940.00,319.00,944.498,2463.00,249.00,1355.00,264.50,1485.00,1403.00,2178.00,1446.00,4802.95,329.20,410.90,6057.00,1877.00,405.70,2713.00,3320.00,1721.00,900.50,876.00,629.70,252.10,473.60,2941.00,294.293,1308.00,201.90,3163.00,2998.00
2014-03-03,6708.399902,1078.00,1000.00,861.50,3210.50,931.50,313.30,938.00,2382.00,243.55,1340.00,261.301,1442.00,1396.00,2157.00,1431.00,4764.83,322.65,409.50,6059.00,1840.00,393.00,2589.00,3297.00,1675.00,882.50,846.00,622.60,247.85,459.90,2970.00,292.843,1254.00,196.10,3128.00,2970.00
2014-03-04,6823.799805,1102.00,1038.00,874.50,3286.50,943.00,319.20,954.503,2435.00,249.00,1375.00,264.20,1519.00,1425.00,2195.00,1469.00,4847.91,327.90,420.40,6075.00,1864.00,402.80,2646.00,3439.00,1731.00,902.50,956.00,631.70,252.95,462.50,3043.00,294.112,1289.00,202.20,3199.00,3027.00
2014-03-05,6775.399902,1071.00,1025.00,862.00,3325.00,941.00,322.30,943.501,2392.00,246.25,1363.00,265.40,1510.00,1424.00,2178.50,1433.00,4785.36,327.50,417.60,5994.00,1870.00,401.10,2590.00,3367.00,1739.00,911.50,937.50,622.60,252.25,466.10,3056.00,292.027,1269.00,199.90,3204.00,2980.00
2014-03-06,6788.50,1069.00,1039.00,874.00,3335.00,932.00,322.20,943.501,2375.00,247.30,1374.00,267.901,1512.00,1420.00,2169.50,1417.00,4760.92,324.20,413.50,6012.00,1859.00,397.80,2727.00,3290.00,1711.00,915.00,943.00,625.70,253.30,504.00,3080.00,291.846,1257.00,198.60,3205.00,2990.00
2014-03-07,6712.700195,1046.00,1026.00,869.00,3290.00,923.00,324.60,945.496,2396.00,238.65,1365.00,265.20,1480.00,1425.00,2171.00,1393.00,4716.94,322.75,405.20,6050.00,1877.00,389.80,2690.00,3256.00,1681.00,877.00,939.00,619.60,248.35,508.50,3056.00,286.408,1257.00,200.50,3170.00,2969.00
