,,c2925.prn,c3025.prn,c3125.prn,c3225.prn,c3325.prn,p2925.prn,p3025.prn,p3125.prn,p3225.prn,p3325.prn
34366,3480,596,512,431,355,286,27,38,50,74,97
34367,3517.5,637,551,469,391,319,22,31,44,81,100
34368,3492.5,607,522,441,364,294,25,36,60,69,93
34369,3483.5,591,507,427,351,282,27,38,53,73,97
34372,3418.5,532,450,373,300,235,30,43,85,82,111
34373,3443.5,563,480,401,327,261,32,45,62,83,110
34374,3425,555,472,394,320,254,33,46,64,85,113
34375,3406.5,531,449,372,300,236,37,51,72,105,123
34376,3377.5,507,427,352,282,220,42,57,78,101,135
34379,3359,500,425,350,285,230,40,55,80,110,150
34380,3391,522,440,364,293,230,38,53,72,95,127
34381,3416.5,542,460,382,309,244,35,48,66,88,118
34382,3425.5,550,467,389,315,250,33,46,68,100,114
34383,3382.5,504,424,349,279,217,41,56,77,105,134
34386,3350,477,398,325,257,198,48,64,87,113,150
34387,3332,470,392,319,252,194,49,66,88,115,153
34388,3339,482,403,329,280,201,46,62,84,110,146
34389,3268.5,410,335,267,206,175,63,84,95,144,187
34390,3282.5,427,351,281,218,164,58,78,102,135,177
34393,3322,465,372,300,235,178,48,70,103,122,161
34394,3276,414,339,270,208,155,61,81,106,140,182
34395,3238.5,396,322,255,195,144,67,88,115,151,196
34396,3242,397,323,257,210,147,61,93,111,155,200
34397,3277,427,351,281,200,165,53,92,98,150,195
34400,3307,443,366,295,232,185,49,70,91,122,163
34401,3270,407,355,287,225,170,56,80,105,140,183
34402,3248,396,321,254,200,143,60,80,105,141,186
34403,3238.5,381,308,242,210,134,61,82,111,145,195
34404,3194.5,343,273,211,180,111,61,96,130,172,222
34407,3233,387,313,246,195,145,65,75,107,144,205
34408,3266.5,417,340,271,200,153,50,69,94,140,170
34409,3242.5,390,315,248,205,138,63,78,105,150,187
34410,3257.5,405,329,261,201,148,52,72,98,133,176
34411,3216.5,366,300,230,173,125,65,85,115,157,205
34414,3198,355,284,221,182,119,69,93,126,171.5,216
34415,3199.5,365,293,235,180,140,66,88,125,160,210
34416,3155,320,252,193,165,99,79,107,144,180,243
34417,3124,303,236,179,130,89,86,116,154,202,257
34418,3133,314,215,188,138,80,82,111,149,195,249
34421,3130.5,308,241,196,133,92,84,113,151,197,252
34422,3125.5,298,232,175,144,87,87,117,156,204,261
34423,3094,260,198,145,120,70,105,139,183,236,300
34424,3083.5,265,210,160,105,72,102,136,179,231,295
34429,3112.5,255,190,145,110,76,118,157,205,225,287
34430,3132,314,246,187,137,98,80,108,146,192,249
34431,3127,312,244,185,134,95,78,107,144,190,248
34432,3120.5,311,243,184,134,95,78,106,143,190,247
34435,3147.5,310,242,183,133,94,77,106,143,189,247
34436,3160.5,334,264,202,149,107,68,94,129,172,227
34437,3145.5,313,245,185,135,96,75,103,140,186,243
34438,3130,308,240,181,131,92,77,105,143,195,248
34439,3167,346,274,211,156,113,64,88,121,163,216
34442,3143,310,241,223,162,93,60,102,124,186,243
34443,3130.5,303,235,176,125,89,77,105,143,191,249
34444,3098,279,220,170,112,77,86,117,158,208,270
34445,3102.5,292,225,165,120,80,80,110,149,197,257
34446,3135,306,238,179,129,90,74,102,140,186,245
34449,3107.5,281,215,172,112,77,82,112,150,202,264
34450,3125,303,235,175,125,87,72,101,138,185,244
34451,3148,309,240,180,129,90,70,98,134,180,238
34452,3129.5,326,255,192,139,98,63,88,123,167,222
34453,3124.5,297,229,165,121,83,72,98,138,186,245
34457,3100,266,201,164,102,68,77,108,151,203,266
34458,3070,243,200,140,100,57,87,125,155,223,289
34459,3106,274,215,153,106,71,73,104,145,195,257
